Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
18,3,6,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
5,1,2,1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
21,1,3,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
5,6,9,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
19,5,11,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
18,2,1,1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 125cc and up to 500cc,Serious
19,6,3,1,A(M),Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
2,7,4,1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
20,2,10,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
18,4,12,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 125cc and up to 500cc,Serious
18,4,12,2,B,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Serious
17,4,1,1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
18,6,1,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
18,6,2,1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
6,2,2,3,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
17,3,3,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
21,1,5,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
18,3,5,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
18,5,5,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
17,1,6,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
18,2,6,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Other Vehicle ,Serious
18,2,6,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
19,7,6,1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
17,1,6,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
17,7,7,1,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
17,2,7,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
7,3,7,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
5,7,7,1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
17,4,7,2,B,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
22,1,7,1,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Serious
21,7,8,2,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Serious
